benchmark,model,prompt,align,align_upper,align_lower,unalign,unalign_upper,unalign_lower,total,total_upper,total_lower
3DSR,base,,,,,,,,0.3233082706766917,0.40679401230254103,0.24974282671504816
3DSR,embodiment-text,direct,,,,,,,0.6616541353383458,0.7365207148738021,0.5777115387909565
3DSR,embodiment-text,cot,,,,,,,0.706766917293233,0.7774583068614479,0.6244666687562667
3DSR,embodiment-coco,direct,,,,,,,0.5714285714285714,0.6523624031421571,0.4864844066166898
3DSR,embodiment-coco,cot,,,,,,,0.6842105263157895,0.7570920552230418,0.6009865594181949
3DSR,embodiment-vit,direct,,,,,,,0.518796992481203,0.6019857590230282,0.43455287512403684
3DSR,embodiment-vit,cot,,,,,,,0.5864661654135338,0.6665863892275254,0.5014913278489734
cocoval2017,base,,0.8333333333333334,0.9530348578161462,0.5519691377470265,0.1388888888888889,0.28659530389356214,0.06081815009132838,0.3125,0.4533307141589159,0.19945683446587814
cocoval2017,embodiment-text,direct,0.75,0.9110583316059453,0.46769466506643426,0.8333333333333334,0.921295524049819,0.6810920568872053,0.8125,0.8980860904515235,0.680601328507153
cocoval2017,embodiment-text,cot,0.6666666666666666,0.8618799089087869,0.3906220888727995,1.0,1.0,0.9035813714055363,0.9166666666666666,0.9671162431819083,0.804466982096327
cocoval2017,embodiment-coco,direct,0.5833333333333334,0.8067396863412435,0.31951131254954973,0.8055555555555556,0.9024690458107127,0.6497195700482261,0.75,0.850793663262021,0.6121562719049203
cocoval2017,embodiment-coco,cot,0.5833333333333334,0.8067396863412435,0.31951131254954973,0.9166666666666666,0.9712513886640066,0.7817330875072737,0.8333333333333334,0.9130448642351444,0.7042217159874441
cocoval2017,embodiment-vit,direct,0.5833333333333334,0.8067396863412435,0.31951131254954973,0.8611111111111112,0.9391818499086717,0.713404696106438,0.7916666666666666,0.882697270420944,0.6574109872738206
cocoval2017,embodiment-vit,cot,0.6666666666666666,0.8618799089087869,0.3906220888727995,0.8888888888888888,0.9559335969968435,0.7468519140963513,0.8333333333333334,0.9130448642351444,0.7042217159874441
isle_bricks_v2,base,,1.0,1.0,0.7411670330319682,0.2727272727272727,0.4815173401240239,0.13150760287989469,0.5151515151515151,0.674959578918663,0.3521837544891414
isle_bricks_v2,embodiment-text,direct,1.0,1.0,0.7411670330319682,0.6363636363636364,0.8026679532963388,0.4295170809013101,0.7575757575757576,0.8716828662282499,0.5897538017044264
isle_bricks_v2,embodiment-text,cot,0.8181818181818182,0.9486323102539149,0.5230194380391557,0.6818181818181818,0.8363940681864375,0.47318597741042745,0.7272727272727273,0.8493255911457935,0.5578244099712737
isle_bricks_v2,embodiment-coco,direct,1.0,1.0,0.7411670330319682,0.7272727272727273,0.8684923971201054,0.5184826598759761,0.8181818181818182,0.9138923179105933,0.6561176836533009
isle_bricks_v2,embodiment-coco,cot,1.0,1.0,0.7411670330319682,0.8181818181818182,0.9269311541657794,0.6148339256287345,0.8787878787878788,0.9518383869058644,0.7267449482892476
isle_bricks_v2,embodiment-vit,direct,0.8181818181818182,0.9486323102539149,0.5230194380391557,0.6363636363636364,0.8026679532963388,0.4295170809013101,0.696969696969697,0.8262446857594641,0.5266186485419944
isle_bricks_v2,embodiment-vit,cot,0.8181818181818182,0.9486323102539149,0.5230194380391557,0.6818181818181818,0.8363940681864375,0.47318597741042745,0.7272727272727273,0.8493255911457935,0.5578244099712737
perspective_taking,base,,1.0,1.0,0.7224672001371106,0.0,0.27753279986288926,0.0,0.5,0.7007019918017877,0.2992980081982123
perspective_taking,embodiment-vit,direct,0.9,0.982123786904927,0.5958499732047614,1.0,1.0,0.7224672001371106,0.95,0.9911185511992044,0.7638688065532577
perspective_taking,embodiment-coco,direct,1.0,1.0,0.7224672001371106,1.0,1.0,0.7224672001371106,1.0,0.9999999999999999,0.8388748419471804
perspective_taking,embodiment-vit,cot,1.0,1.0,0.7224672001371106,1.0,1.0,0.7224672001371106,1.0,0.9999999999999999,0.8388748419471804
perspective_taking,embodiment-coco,cot,0.9,0.982123786904927,0.5958499732047614,0.9,0.982123786904927,0.5958499732047614,0.9,0.9721335187862318,0.6989663547715127
perspective_taking,embodiment-text,direct,0.8,0.9433178485456247,0.49016247153664183,0.9,0.982123786904927,0.5958499732047614,0.85,0.9476312541037833,0.639581135259243
perspective_taking,embodiment-text,cot,0.8,0.9433178485456247,0.49016247153664183,0.8,0.9433178485456247,0.49016247153664183,0.8,0.919342337420202,0.5839825677481064
